Feature,Label,Precision,Recall,F1-Score,Support
lag1_freq_486_0,2.0,0.5,0.92,0.65,76
lag1_freq_486_0,Average,0.56,,,
lag1_freq_517_0,0.0,0.7,0.4,0.51,83
lag1_freq_517_0,1.0,0.51,0.4,0.45,89
lag1_freq_517_0,2.0,0.55,0.95,0.7,76
lag1_freq_517_0,Average,0.5866666666666667,,,
lag1_freq_527_0,0.0,0.55,0.64,0.59,83
lag1_freq_527_0,1.0,0.38,0.06,0.1,89
lag1_freq_527_0,2.0,0.49,0.89,0.63,76
lag1_freq_527_0,Average,0.47333333333333333,,,
lag1_freq_537_0,0.0,0.57,0.66,0.61,83
lag1_freq_537_0,1.0,0.62,0.06,0.1,89
lag1_freq_537_0,2.0,0.48,0.89,0.62,76
lag1_freq_537_0,Average,0.5566666666666666,,,
lag1_freq_547_0,0.0,0.53,0.6,0.56,83
lag1_freq_547_0,1.0,0.36,0.06,0.1,89
lag1_freq_547_0,2.0,0.5,0.92,0.65,76
lag1_freq_547_0,Average,0.4633333333333334,,,
lag1_freq_557_0,0.0,0.55,0.64,0.59,83
lag1_freq_557_0,1.0,0.57,0.09,0.16,89
lag1_freq_557_0,2.0,0.5,0.91,0.64,76
lag1_freq_557_0,Average,0.54,,,
lag1_freq_568_0,0.0,0.5,0.53,0.51,83
lag1_freq_568_0,1.0,0.5,0.06,0.1,89
lag1_freq_568_0,2.0,0.43,0.86,0.58,76
lag1_freq_568_0,Average,0.4766666666666666,,,
lag1_freq_578_0,0.0,0.54,0.57,0.55,83
lag1_freq_578_0,1.0,0.58,0.08,0.14,89
lag1_freq_578_0,2.0,0.46,0.91,0.61,76
lag1_freq_578_0,Average,0.5266666666666667,,,
lag1_freq_588_0,0.0,0.53,0.57,0.55,83
lag1_freq_588_0,1.0,0.36,0.06,0.1,89
lag1_freq_588_0,2.0,0.48,0.91,0.62,76
lag1_freq_588_0,Average,0.4566666666666667,,,
lag1_freq_598_0,0.0,0.5,0.52,0.51,83
lag1_freq_598_0,1.0,0.4,0.07,0.12,89
lag1_freq_598_0,2.0,0.47,0.91,0.62,76
lag1_freq_598_0,Average,0.4566666666666667,,,
lag1_freq_608_0,0.0,0.48,0.51,0.49,83
lag1_freq_608_0,1.0,0.41,0.1,0.16,89
lag1_freq_608_0,2.0,0.49,0.89,0.64,76
lag1_freq_608_0,Average,0.45999999999999996,,,
lag1_freq_618_0,0.0,0.52,0.49,0.51,83
lag1_freq_618_0,1.0,0.55,0.12,0.2,89
lag1_freq_618_0,2.0,0.47,0.92,0.62,76
lag1_freq_618_0,Average,0.5133333333333333,,,
lag1_freq_628_0,0.0,0.49,0.48,0.49,83
lag1_freq_628_0,1.0,0.53,0.11,0.19,89
lag1_freq_628_0,2.0,0.48,0.93,0.63,76
lag1_freq_628_0,Average,0.5,,,
lag1_freq_639_0,0.0,0.52,0.51,0.51,83
lag1_freq_639_0,1.0,0.35,0.07,0.11,89
lag1_freq_639_0,2.0,0.47,0.92,0.62,76
lag1_freq_639_0,Average,0.4466666666666666,,,
lag1_freq_649_0,0.0,0.47,0.47,0.47,83
lag1_freq_649_0,1.0,0.43,0.1,0.16,89
lag1_freq_649_0,2.0,0.49,0.92,0.64,76
lag1_freq_649_0,Average,0.4633333333333333,,,
lag1_freq_659_0,0.0,0.51,0.45,0.48,83
lag1_freq_659_0,1.0,0.57,0.09,0.16,89
lag1_freq_659_0,2.0,0.42,0.89,0.57,76
lag1_freq_659_0,Average,0.5,,,
lag1_freq_669_0,0.0,0.57,0.55,0.56,83
lag1_freq_669_0,1.0,0.5,0.09,0.15,89
lag1_freq_669_0,2.0,0.46,0.92,0.61,76
lag1_freq_669_0,Average,0.5099999999999999,,,
lag1_freq_679_0,0.0,0.49,0.47,0.48,83
lag1_freq_679_0,1.0,0.44,0.08,0.13,89
lag1_freq_679_0,2.0,0.46,0.93,0.62,76
lag1_freq_679_0,Average,0.4633333333333333,,,
lag1_freq_689_0,0.0,0.51,0.47,0.49,83
lag1_freq_689_0,1.0,0.38,0.09,0.15,89
lag1_freq_689_0,2.0,0.48,0.95,0.64,76
lag1_freq_689_0,Average,0.4566666666666667,,,
lag1_freq_699_0,0.0,0.48,0.54,0.51,83
